Num of neighbors (K),Num processors,Num of points,Speed-Up,Efficency
5,2,1024,1.3457395110479775,0.6728697555239888
5,4,1024,1.8364961878791253,0.4591240469697813
5,8,1024,3.6158439708541064,0.4519804963567633
5,16,1024,6.452453887766408,0.4032783679854005
5,32,1024,11.476264997391757,0.3586332811684924
5,64,1024,10.946483856700576,0.1710388102609465
5,2,2048,1.5211223760639012,0.7605611880319506
5,4,2048,2.139495079161318,0.5348737697903295
5,8,2048,3.694126339120798,0.46176579239009974
5,16,2048,6.811341675906858,0.42570885474417863
5,32,2048,12.338239935726378,0.3855699979914493
5,64,2048,14.291174368944946,0.22329959951476477
5,2,4096,1.6499796725675682,0.8249898362837841
5,4,4096,3.4188689439655957,0.8547172359913989
5,8,4096,5.679130635165128,0.709891329395641
5,16,4096,9.373670645346946,0.5858544153341841
5,32,4096,12.333809652374901,0.38543155163671566
5,64,4096,23.631236634094336,0.369238072407724
5,2,8192,1.6053563323580173,0.8026781661790087
5,4,8192,3.8303219292051516,0.9575804823012879
5,8,8192,6.936401832444483,0.8670502290555604
5,16,8192,11.439502406507442,0.7149689004067151
5,32,8192,15.641075118952758,0.4887835974672737
5,64,8192,30.78085463896836,0.48095085373388063
5,2,16384,1.6306502006229215,0.8153251003114608
5,4,16384,3.9536050598179235,0.9884012649544809
5,8,16384,7.442270193634243,0.9302837742042803
5,16,16384,12.95536683081951,0.8097104269262194
5,32,16384,22.939564076755445,0.7168613773986077
5,64,16384,40.132282278398,0.6270669105999688
5,2,32768,1.6224312377998056,0.8112156188999028
5,4,32768,3.969160424662838,0.9922901061657095
5,8,32768,7.522600265812983,0.9403250332266229
5,16,32768,13.275579662634488,0.8297237289146555
5,32,32768,25.411102502452387,0.7940969532016371
5,64,32768,41.65507718337371,0.6508605809902143
5,2,65536,1.6225598383773947,0.8112799191886974
5,4,65536,3.979816503973084,0.994954125993271
5,8,65536,7.516510726763226,0.9395638408454032
5,16,65536,13.615762900101227,0.8509851812563267
5,32,65536,26.03977139526342,0.8137428561019818
5,64,65536,42.16268785405343,0.6587919977195849
10,2,1024,1.373682420945257,0.6868412104726285
10,4,1024,1.8667405969873396,0.4666851492468349
10,8,1024,3.6995659420157145,0.4624457427519643
10,16,1024,6.276410638826747,0.3922756649266717
10,32,1024,11.992400854903822,0.37476252671574445
10,64,1024,15.171999399128739,0.23706249061138654
10,2,2048,1.5356512143251257,0.7678256071625629
10,4,2048,2.139495079161318,0.5348737697903295
10,8,2048,3.696746433284473,0.4620933041605591
10,16,2048,6.911349883069604,0.4319593676918502
10,32,2048,11.993417566172983,0.3747942989429057
10,64,2048,21.24033688162217,0.3318802637753464
10,2,4096,1.6321998563383469,0.8160999281691734
10,4,4096,3.5857763562269387,0.8964440890567347
10,8,4096,5.522714053393161,0.6903392566741451
10,16,4096,7.485544773492886,0.46784654834330536
10,32,4096,12.337003719000046,0.38553136621875145
10,64,4096,24.180607438687673,0.3778219912294949
10,2,8192,1.6090505811412497,0.8045252905706248
10,4,8192,3.8277969832175023,0.9569492458043756
10,8,8192,6.946736517992623,0.8683420647490778
10,16,8192,9.959071265792877,0.6224419541120548
10,32,8192,17.301038062283737,0.5406574394463668
10,64,8192,28.618778883429577,0.44716842005358715
10,2,16384,1.6238559340874503,0.8119279670437252
10,4,16384,3.937731887949556,0.984432971987389
10,8,16384,7.451097072088196,0.9313871340110245
10,16,16384,12.140738818287328,0.758796176142958
10,32,16384,22.847026034991135,0.713969563593473
10,64,16384,40.35170080595577,0.630495325093059
10,2,32768,1.622880737135859,0.8114403685679294
10,4,32768,3.9923047694425415,0.9980761923606354
10,8,32768,7.528322503298776,0.941040312912347
10,16,32768,13.228865356667043,0.8268040847916902
10,32,32768,25.553923642957308,0.7985601138424159
10,64,32768,41.72087955462119,0.6518887430409561
10,2,65536,1.6431761587372222,0.8215880793686111
10,4,65536,4.055175311348378,1.0137938278370946
10,8,65536,7.665981752820242,0.9582477191025303
10,16,65536,13.481391220083024,0.842586951255189
10,32,65536,26.654184233676997,0.8329432573024061
10,64,65536,42.78948857744075,0.6685857590225117
15,2,1024,1.4002460626576125,0.7001230313288063
15,4,1024,1.9149786656503025,0.4787446664125756
15,8,1024,3.4080005293981404,0.42600006617476754
15,16,1024,6.337681516121092,0.3961050947575683
15,32,1024,11.753294916414672,0.3672904661379585
15,64,1024,13.56512577373897,0.2119550902146714
15,2,2048,1.538914959065215,0.7694574795326075
15,4,2048,1.8722490606548579,0.46806226516371446
15,8,2048,3.702555697562343,0.46281946219529285
15,16,2048,6.31216249475193,0.3945101559219956
15,32,2048,12.18881480549615,0.3809004626717547
15,64,2048,20.50028211397405,0.3203169080308445
15,2,4096,1.62318891361096,0.81159445680548
15,4,4096,3.333720138422249,0.8334300346055622
15,8,4096,5.068879867820683,0.6336099834775853
15,16,4096,7.898214057371808,0.493638378585738
15,32,4096,12.581263897611732,0.39316449680036664
15,64,4096,23.841536769105073,0.37252401201726676
15,2,8192,1.624484394344104,0.812242197172052
15,4,8192,3.822537829124768,0.955634457281192
15,8,8192,7.08190379617108,0.885237974521385
15,16,8192,11.402135903292457,0.7126334939557786
15,32,8192,15.575736772032721,0.48674177412602254
15,64,8192,36.03066048561068,0.5629790700876669
15,2,16384,1.6279629565432225,0.8139814782716113
15,4,16384,3.9602589169816675,0.9900647292454169
15,8,16384,7.221659259711699,0.9027074074639624
15,16,16384,12.889652788892212,0.8056032993057632
15,32,16384,22.56134385546449,0.7050419954832653
15,64,16384,40.26762961799978,0.6291817127812466
15,2,32768,1.6251398312321583,0.8125699156160792
15,4,32768,3.987925504124909,0.9969813760312273
15,8,32768,7.298966523741119,0.9123708154676399
15,16,32768,13.184095148423989,0.8240059467764993
15,32,32768,25.596856739554443,0.7999017731110764
15,64,32768,41.85126940158113,0.6539260843997051
15,2,65536,1.6209975842647297,0.8104987921323649
15,4,65536,3.9666467280872246,0.9916616820218062
15,8,65536,7.562559486433329,0.9453199358041662
15,16,65536,13.648179608296848,0.853011225518553
15,32,65536,26.20658668345949,0.8189558338581091
15,64,65536,42.25943454177769,0.6603036647152765
20,2,1024,1.419283329503521,0.7096416647517605
20,4,1024,1.9469321911331146,0.48673304778327864
20,8,1024,3.5416736937970112,0.4427092117246264
20,16,1024,7.320899424786474,0.45755621404915464
20,32,1024,12.114918656974732,0.37859120803046037
20,64,1024,16.868824805205236,0.2635753875813318
20,2,2048,1.597458621637013,0.7987293108185065
20,4,2048,2.438374121018896,0.609593530254724
20,8,2048,3.7219949553826916,0.46524936942283646
20,16,2048,7.364721474286386,0.4602950921428991
20,32,2048,12.026244058788883,0.3758201268371526
20,64,2048,19.55848611080172,0.3056013454812769
20,2,4096,1.6027281803246325,0.8013640901623162
20,4,4096,3.4410030291956586,0.8602507572989146
20,8,4096,5.859165250570124,0.7323956563212655
20,16,4096,7.303739081303806,0.45648369258148785
20,32,4096,13.400806938078157,0.4187752168149424
20,64,4096,23.563185539444518,0.3681747740538206
20,2,8192,1.6360420627640693,0.8180210313820346
20,4,8192,3.8826627835105967,0.9706656958776492
20,8,8192,6.918386594626143,0.8647983243282679
20,16,8192,12.12217352065128,0.757635845040705
20,32,8192,16.161603717312587,0.5050501161660184
20,64,8192,29.23631230963524,0.45681737983805065
20,2,16384,1.6280732133555018,0.8140366066777509
20,4,16384,3.9655694259127507,0.9913923564781877
20,8,16384,7.461032097135923,0.9326290121419903
20,16,16384,12.922233925717013,0.8076396203573133
20,32,16384,22.950878335089293,0.7172149479715404
20,64,16384,39.348382015909955,0.614818468998593
20,2,32768,1.600739434454633,0.8003697172273165
20,4,32768,3.9922356970813673,0.9980589242703418
20,8,32768,7.53642759659115,0.9420534495738937
20,16,32768,13.134093037987606,0.8208808148742254
20,32,32768,25.73551521875653,0.8042348505861415
20,64,32768,41.90260005192686,0.6547281258113572
20,2,65536,1.622375084847549,0.8111875424237746
20,4,65536,3.9993936557862666,0.9998484139465666
20,8,65536,7.55967599135118,0.9449594989188975
20,16,65536,13.280376377264302,0.8300235235790189
20,32,65536,26.306882110119208,0.8220900659412252
20,64,65536,42.31219679216169,0.6611280748775265
